cell_barcode;orig.ident;nCount_RNA;nFeature_RNA;subproject;library_id;index;donor_id.x;fastq_path_r1;fastq_path_r2;symbolic_link_r1;symbolic_link_r2;zUMI_barcode;plate;original_barcode;well;sample_id;donor_id.y;tissue;time_point;sample_description;sampling_time;sample_description_FN;Exclude_FN
OAQXWPZG;SeuratProject;370941;1701;CLL_52;AF9691;N705-S520-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N705-S520-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N705-S520-NX-xt_2.fastq.gz;CLL_05-76_S51_L006_R1_001.fastq.gz;CLL_05-76_S51_L006_R2_001.fastq.gz;OAQXWPZG;P2462;P2462_N705-S520;CLL_05_76_F05;05/76;63;LN;T1;NA;NA;pretreatmnt_2ndTissue;NA
OAZRIGZI;SeuratProject;265017;760;CLL_52;AF9533;N711-S511-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S511-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S511-NX-xt_2.fastq.gz;CLL_10-7434_S194_L006_R1_001.fastq.gz;CLL_10-7434_S194_L006_R2_001.fastq.gz;OAZRIGZI;P2460;P2460_N711-S511;CLL_10_7434_H09;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OBHDEFOT;SeuratProject;368093;2259;CLL_52;AG0117;N712-S522-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N712-S522-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N712-S522-NX-xt_2.fastq.gz;CLL_14-2116_S149_L007_R1_001.fastq.gz;CLL_14-2116_S149_L007_R2_001.fastq.gz;OBHDEFOT;P2466;P2466_N712-S522;CLL_14_2116_H10;14/2116;63;LN;T3;NA;NA;RS;NA
OBRIIDBQ;SeuratProject;434142;1050;CLL_52;AG0626;N724-S502-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N724-S502-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N724-S502-NX-xt_2.fastq.gz;CLL_10-7434_S368_L001_R1_001.fastq.gz;CLL_10-7434_S368_L001_R2_001.fastq.gz;OBRIIDBQ;P2469;P2469_N724-S502;CLL_10_7434_A08;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OBYGZGDH;SeuratProject;318497;907;CLL_52;AF9806;N724-S513-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S513-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S513-NX-xt_2.fastq.gz;CLL_10-7434_S78_L006_R1_001.fastq.gz;CLL_10-7434_S78_L006_R2_001.fastq.gz;OBYGZGDH;P2463;P2463_N724-S513;CLL_10_7434_A08;10/7434;63;PB;T2;NA;NA;posttreatment;NA
OCRDIDAB;SeuratProject;366922;2455;CLL_52;AF9732;N712-S521-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N712-S521-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N712-S521-NX-xt_2.fastq.gz;CLL_14-2116_S339_L006_R1_001.fastq.gz;CLL_14-2116_S339_L006_R2_001.fastq.gz;OCRDIDAB;P2462;P2462_N712-S521;CLL_14_2116_G10;14/2116;63;LN;T3;NA;NA;RS;NA
OCZIGZVB;SeuratProject;549939;1015;CLL_52;AG0667;N701-S515-NX-xt;63;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N701-S515-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N701-S515-NX-xt_2.fastq.gz;CLL_05-599_S11_L001_R1_001.fastq.gz;CLL_05-599_S11_L001_R2_001.fastq.gz;OCZIGZVB;P2470;P2470_N701-S515;CLL_05_599_B01;05/599;63;PB;T1;NA;NA;pretreatment;NA
ODEYDBIB;SeuratProject;279648;892;CLL_52;AF9811;N724-S520-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S520-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S520-NX-xt_2.fastq.gz;CLL_10-7434_S20_L006_R1_001.fastq.gz;CLL_10-7434_S20_L006_R2_001.fastq.gz;ODEYDBIB;P2463;P2463_N724-S520;CLL_10_7434_F08;10/7434;63;PB;T2;NA;NA;posttreatment;NA
ODLKGPJK;SeuratProject;351813;3442;CLL_52;AG0222;N729-S513-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N729-S513-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N729-S513-NX-xt_2.fastq.gz;CLL_14-2116_S234_L007_R1_001.fastq.gz;CLL_14-2116_S234_L007_R2_001.fastq.gz;ODLKGPJK;P2467;P2467_N729-S513;CLL_14_2116_A12;14/2116;63;LN;T3;NA;NA;RS;NA
OEFLATLH;SeuratProject;302459;1034;CLL_52;AF9532;N711-S510-NX-xt;63;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S510-NX-xt_1.fastq.gz;/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S510-NX-xt_2.fastq.gz;CLL_10-7434_S139_L006_R1_001.fastq.gz;CLL_10-7434_S139_L006_R2_001.fastq.gz;OEFLATLH;P2460;P2460_N711-S510;CLL_10_7434_G09;10/7434;63;PB;T2;NA;NA;posttreatment;NA
